"^PowerDNS Recursor (\d\.[\d.]+) \(built [\w\s:]+ by [\w]+\@[\w.-]*\)$" ::DELIM::  "PowerDNS Recursor: format 2"
"^PowerDNS Recursor (\d\.[\d.]+(?:-\w+)?)$" ::DELIM::  "PowerDNS Recursor: version only"
"^PowerDNS Recursor (\d\.[\d.]+) \$Id[^$]*\$$" ::DELIM::  "PowerDNS Recursor: ID format"
"^PowerDNS Recursor$" ::DELIM::  "PowerDNS Recursor: no version"
"^PowerDNS Authoritative Server (\d\.[\d.]++(?:-rc\d)?) \(\w+@[\w.]+ built [\d\s]+\w*@[\w.-]*\)$" ::DELIM::  "PowerDNS Authoritative Server"
"^PowerDNS Authoritative Server (\d\.[\w.]+(?:-rc\d)?(?:-alpha\d)?(?:-beta\d)?) \(built [\w\s:]+ by [\w]+\@[\w.-:-]*\)$" ::DELIM::  "PowerDNS Authoritative Server: format 2"
"^PowerDNS Authoritative Server (\d\.[\d.]+(?:-\w+)?)$" ::DELIM::  "PowerDNS Authoritative Server: version only"
"^Served by POWERDNS (\d\.[\d.]+) \$Id[^$]*\$$" ::DELIM::  "PowerDNS: Served by format with version"
"^Served by PowerDNS - https?:\/\/www.powerdns.com\/?$" ::DELIM::  "PowerDNS: Served by format without version"
"^Nominum Vantio(?: CacheServe)? ([\d.]+)$" ::DELIM::  "Nominum Vantio CacheServe"
"^Nominum Vantio ([\d.]+) \(build (\d+)\)$" ::DELIM::  "Nominum Vantio CacheServe, with build"
"^Nominum ANS(?:Premier)? ([\d\.]+)$" ::DELIM::  "Nominum Vantio AuthServ"
"^NSD ([\d.]*(?:b\d+)?)$" ::DELIM::  "NLnet Labs Name Server Daemon"
"^unbound ([\d.]+)$" ::DELIM::  "NLnet Labs Unbound"
"^(?i:unbound)$" ::DELIM::  "NLnet Labs Unbound no version string"
"^(?:BIND )?(9.[^-]+(?:-[SP]\d)?)-9\+deb8u\d+-Raspbian$" ::DELIM::  "ISC BIND: Raspbian based on Debian Jessie"
"^(9.[^-]+(?:-[SP]\d)?)-(?:\d-)?Raspbian$" ::DELIM::  "ISC BIND: Raspbian based on Debian Jessie no version simple"
"^Knot DNS ([\d.]+(?:-dev)?)$" ::DELIM::  "Knot DNS"
"^UltraDNS Resolver$" ::DELIM::  "Neustar UltraDNS Resolver"
"^UltraDNS TLD Platform - www\.ultradns\.com$" ::DELIM::  "Neustar UltraDNS TLD Platform"
"^Microsoft DNS (10.0.\d+)(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2016: GA"
"^Microsoft DNS 6.3.9600(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2012 R2"
"^Microsoft DNS 6.2.9200(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2012"
"^Microsoft DNS 6.1.7601(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2008 R2 Service Pack 1"
"^Microsoft DNS 6.1.7600(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2008 R2"
"^Microsoft DNS 6.0.6002(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2008 Service Pack 2"
"^Microsoft DNS 6.0.6001(?: \(\w+\))?$" ::DELIM::  "Microsoft DNS on Windows 2008 Service Pack 1"
"^DNSServer$" ::DELIM::  "Synology DNS service"
"^Incognito DNS Service ([\d\.]+) \(built" ::DELIM::  "Incognito DNS Service"
"^(?i:djbdns)[\s-](\d.\d+)$" ::DELIM::  "djbdns"
"^(?i:djbdns)$" ::DELIM::  "djbdns: no version"
"^rbldnsd (\d[\.\w\/-]+) \(\d\d \w\w\w \d\d\d\d\)$" ::DELIM::  "rbldnsd"
"^ALU DNS ([\d\.]+) Build (\d+)$" ::DELIM::  "ALU (Alcatel Lucent?) DNS"
"^DraytekDNS-v([\d\.]+)$" ::DELIM::  "Draytek DNS"
"^Atlas Anchor ([\d\.]+)$" ::DELIM::  "Ripe ATLAS Anchor"
"^ZyWALL DNS$" ::DELIM::  "ZyWALL DNS"
"^Array SmartDNS$" ::DELIM::  "Array Networks SmartDNS"
"^gdnsd$" ::DELIM::  "gdnsd"
"^Hi: [\w\.: =]+\d{4}$" ::DELIM::  "OzymanDNS DNS tunnel"
"^Meta IP[\s\/]DNS (?:V[\d\.]+ )?- BIND V([\d\.]+(?:-REL)?) \(Build (\d+)\s?\)$" ::DELIM::  "Check Point Meta IP"
"^([^ ]+) Microsoft FTP Service \(Version ([1234]\.\d+)\)\.$" ::DELIM::  "Microsoft FTP Server on Windows NT"
"^([^ ]+) Microsoft FTP Service \(Version 5.0\)\.$" ::DELIM::  "Microsoft FTP Server on Windows 2000"
"^([^ ]+) Microsoft FTP Service \(Version 5.1\)\.$" ::DELIM::  "Microsoft FTP Server on Windows XP, 2003 or later versions of 2000"
"^([^ ]+) Microsoft FTP Service$" ::DELIM::  "Microsoft FTP Server on Windows XP, 2003 or later without version"
"^Microsoft FTP Service$" ::DELIM::  "Microsoft FTP Server on Windows XP, 2003 or later without version or hostname"
"^([^ ]+) +FTP +Server \(Version ([^\(]+)\(PHNE_\d+\) [^\)]+\) ready.?$" ::DELIM::  "
